case,split,tau,ssa,hg_g,sun_zenith_deg,view_zenith_deg,relative_azimuth_deg,surface_albedo_for_delta_join,samples,seed,max_scatters,batch_samples,cuda_backend,cuda_device,cuda_directional_brf,cuda_standard_error_brf,cuda_ci95_low_brf,cuda_ci95_high_brf,cuda_ci95_halfwidth_brf,cuda_truncated_paths,cuda_truncated_fraction,analytic_hg_single_directional_brf,cuda_directional_higher_brf,legacy_hg_proxy_directional_brf_octave1,legacy_hg_proxy_directional_brf_octave6,legacy_hg_proxy_directional_higher_brf,effective_alpha_unclamped,effective_alpha_informative,calibration_alpha_bounded,predicted_directional_brf,directional_residual_brf,directional_abs_residual_brf,directional_abs_residual_outside_mc95,directional_acceptance_tolerance_brf,directional_acceptance_pass,delta_phase_case,delta_hemispheric_toa_reflectance,delta_hemispheric_first_reflectance,delta_hemispheric_higher_reflectance,delta_hemispheric_bottom_direct_transmittance,delta_hemispheric_bottom_diffuse_transmittance,delta_hemispheric_atmosphere_absorptance,delta_hemispheric_energy_sum,observable_contract
ccf_v1_0042,calibration,0,0.999,0.75,65,65,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0043,calibration,0,0.999,0.84999999999999998,30,0,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0044,calibration,0,0.999,0.84999999999999998,30,40,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0045,angular-holdout,0,0.999,0.84999999999999998,30,40,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0046,calibration,0,0.999,0.84999999999999998,30,40,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0047,calibration,0,0.999,0.84999999999999998,30,65,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0048,calibration,0,0.999,0.84999999999999998,30,65,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0049,calibration,0,0.999,0.84999999999999998,30,65,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0050,angular-holdout,0,0.999,0.84999999999999998,50,0,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0051,angular-holdout,0,0.999,0.84999999999999998,50,40,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0052,angular-holdout,0,0.999,0.84999999999999998,50,40,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0053,angular-holdout,0,0.999,0.84999999999999998,50,40,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0054,angular-holdout,0,0.999,0.84999999999999998,50,65,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0055,angular-holdout,0,0.999,0.84999999999999998,50,65,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0056,angular-holdout,0,0.999,0.84999999999999998,50,65,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0057,calibration,0,0.999,0.84999999999999998,65,0,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0058,calibration,0,0.999,0.84999999999999998,65,40,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0059,angular-holdout,0,0.999,0.84999999999999998,65,40,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,forward-stress,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
