case,split,tau,ssa,phase_profile,phase_model,phase_lobe1_g,phase_lobe2_g,phase_lobe1_weight,phase_first_moment,surface_albedo,lower_boundary,sun_zenith_deg,view_zenith_deg,relative_azimuth_deg,samples,seed,max_scatters,batch_samples,depth_bins,report_forward_flux,holdout_albedo,holdout_geometry,holdout_phase_shape,holdout_absorption,convergence_pair,required_oracle_features,runnable_with_current_oracle
ccf_v2_0017,angular-holdout,0.10000000000000001,0.999,single-hg-g0p665,single-hg,0.66500000000000004,0,1,0.66500000000000004,0.59999999999999998,lambertian,65,40,90,4194304,5999168895323013142,384,65536,32,true,false,true,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0018,calibration,0.10000000000000001,0.999,single-hg-g0p665,single-hg,0.66500000000000004,0,1,0.66500000000000004,0.59999999999999998,lambertian,65,65,180,4194304,5999168895323013142,384,65536,32,true,false,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0019,calibration,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0,lambertian,30,0,0,4194304,5999168895323013142,384,65536,32,true,false,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0020,angular-holdout,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0,lambertian,30,40,90,4194304,5999168895323013142,384,65536,32,true,false,true,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0021,calibration,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0,lambertian,30,65,180,4194304,5999168895323013142,384,65536,32,true,false,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0022,calibration,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0,lambertian,65,0,0,4194304,5999168895323013142,384,65536,32,true,false,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0023,angular-holdout,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0,lambertian,65,40,90,4194304,5999168895323013142,384,65536,32,true,false,true,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0024,calibration,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0,lambertian,65,65,180,4194304,5999168895323013142,384,65536,32,true,false,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0025,albedo-interpolation-holdout,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.20000000000000001,lambertian,30,0,0,4194304,5999168895323013142,384,65536,32,true,true,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0026,albedo-interpolation-holdout+angular-holdout,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.20000000000000001,lambertian,30,40,90,4194304,5999168895323013142,384,65536,32,true,true,true,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0027,albedo-interpolation-holdout,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.20000000000000001,lambertian,30,65,180,4194304,5999168895323013142,384,65536,32,true,true,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0028,albedo-interpolation-holdout,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.20000000000000001,lambertian,65,0,0,4194304,5999168895323013142,384,65536,32,true,true,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0029,albedo-interpolation-holdout+angular-holdout,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.20000000000000001,lambertian,65,40,90,4194304,5999168895323013142,384,65536,32,true,true,true,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0030,albedo-interpolation-holdout,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.20000000000000001,lambertian,65,65,180,4194304,5999168895323013142,384,65536,32,true,true,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0031,calibration,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.59999999999999998,lambertian,30,0,0,4194304,5999168895323013142,384,65536,32,true,false,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0032,angular-holdout,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.59999999999999998,lambertian,30,40,90,4194304,5999168895323013142,384,65536,32,true,false,true,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0033,calibration,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.59999999999999998,lambertian,30,65,180,4194304,5999168895323013142,384,65536,32,true,false,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0034,calibration,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.59999999999999998,lambertian,65,0,0,4194304,5999168895323013142,384,65536,32,true,false,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0035,angular-holdout,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.59999999999999998,lambertian,65,40,90,4194304,5999168895323013142,384,65536,32,true,false,true,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
ccf_v2_0036,calibration,0.10000000000000001,0.999,single-hg-g0p75,single-hg,0.75,0,1,0.75,0.59999999999999998,lambertian,65,65,180,4194304,5999168895323013142,384,65536,32,true,false,false,false,false,,lambertian-lower-boundary;mixture-hg-sampling;matched-forward-RTA;depth-binned-collision-source,false
